Date,equity
2000-01-07,1000258.7301587302
2000-01-10,993603.0229803978
2000-01-11,992677.828638516
2000-01-12,987060.6550009742
2000-01-13,988795.3195206396
2000-01-14,982485.0571160562
2000-01-18,982094.4848048968
2000-01-19,979840.3524724399
2000-01-20,972818.8649994102
2000-01-21,965682.4347455979
2000-01-24,954957.2270682796
2000-01-25,947232.4377397826
2000-01-26,946817.523320955
2000-01-27,950801.6343658426
2000-01-28,950051.089610407
2000-01-31,959655.3202198971
2000-02-01,952113.7392405524
2000-02-02,946536.7382543968
2000-02-03,936368.576013593
2000-02-04,936473.331463206
2000-02-07,939414.3855987233
2000-02-08,934277.9807838794
2000-02-09,934815.2933498609
2000-02-10,935847.2053064472
2000-02-11,929219.0233088575
2000-02-14,932589.0035722269
2000-02-15,936201.8703817897
2000-02-16,939314.1497366977
2000-02-17,941417.5098025451
2000-02-18,938277.0026858828
2000-02-22,946008.0800091387
2000-02-23,936885.912622121
2000-02-24,926615.0065474468
2000-02-25,924843.4327312005
2000-02-28,928738.9500297422
2000-02-29,925220.9664056174
2000-03-01,930755.6413663428
2000-03-02,923746.2855684708
2000-03-03,922617.6846709882
2000-03-06,907482.8807099342
2000-03-07,861448.6059790078
2000-03-08,882846.2149885579
2000-03-09,891349.9988418563
2000-03-10,863038.2423225198
2000-03-13,869084.4870461266
2000-03-14,868811.6170013567
2000-03-15,941988.4177918269
2000-03-16,1001748.6305090764
2000-03-17,964950.6259598089
2000-03-20,984974.6902729584
2000-03-21,992164.0523492976
2000-03-22,980341.527889508
2000-03-23,988343.4415255033
2000-03-24,972053.7670381633
2000-03-27,961672.443521006
2000-03-28,967423.8845928164
2000-03-29,994825.2874764843
2000-03-30,1021050.6553301848
2000-03-31,1020573.0483404433
2000-04-03,1038574.9643393286
2000-04-04,1079321.081207323
2000-04-05,1079923.697481512
2000-04-06,1064689.051313348
2000-04-07,1045528.7508095946
2000-04-10,1067179.4247592227
2000-04-11,1102275.2000908533
2000-04-12,1128617.8890048394
2000-04-13,1124468.6482236446
2000-04-14,1086012.3084386736
2000-04-17,1105894.5877644038
2000-04-18,1092197.7510471467
2000-04-19,1090387.9966683893
2000-04-20,1119579.7001588007
2000-04-24,1158756.2836678822
2000-04-25,1169426.7267555285
2000-04-26,1147043.023307453
2000-04-27,1151188.41704644
2000-04-28,1127003.2736239585
2000-05-01,1124479.6652030358
2000-05-02,1137347.4109466192
2000-05-03,1147386.7715520447
2000-05-04,1140806.7741389591
2000-05-05,1148391.4563063022
2000-05-08,1187393.8575615115
2000-05-09,1217775.086896147
2000-05-10,1237858.4663904265
2000-05-11,1255487.8898156374
2000-05-12,1230185.291559121
2000-05-15,1279671.8496374984
2000-05-16,1285505.7319867888
2000-05-17,1280668.4436874844
2000-05-18,1299855.0154701269
2000-05-19,1301953.400885548
2000-05-22,1322028.691476611
2000-05-23,1329142.411457215
2000-05-24,1369482.2524435434
2000-05-25,1333008.4066851647
2000-05-26,1353510.1166366066
2000-05-30,1359293.3200991945
2000-05-31,1339891.450888122
2000-06-01,1338216.9737222288
2000-06-02,1306394.1716899748
2000-06-05,1297454.129136769
2000-06-06,1334631.9551165968
2000-06-07,1344996.3876016631
2000-06-08,1323243.7236601433
2000-06-09,1310284.2062493856
2000-06-12,1324739.479347637
2000-06-13,1345986.8572542237
2000-06-14,1378499.7436338959
2000-06-15,1409163.2773355495
2000-06-16,1348120.8893774012
2000-06-19,1350712.5920870833
2000-06-20,1294097.4226432552
2000-06-21,1297065.2804522112
2000-06-22,1273031.2321927715
2000-06-23,1300674.7095619442
2000-06-26,1344766.9849130295
2000-06-27,1354513.090015608
2000-06-28,1347251.420386109
2000-06-29,1339187.5358518925
2000-06-30,1383129.3230861775
2000-07-03,1387369.7841983768
2000-07-05,1404310.0142882806
2000-07-06,1380860.469642911
2000-07-07,1366359.2291528727
2000-07-10,1347774.9937700303
2000-07-11,1339232.1897717821
2000-07-12,1341388.596864532
2000-07-13,1314086.3340870275
2000-07-14,1309469.9872795395
2000-07-17,1309237.464145941
2000-07-18,1304498.688588179
2000-07-19,1313533.5119952576
2000-07-20,1288867.3126736397
2000-07-21,1272069.6414755129
2000-07-24,1283239.9642194097
2000-07-25,1273650.9649382918
2000-07-26,1260026.6001714242
2000-07-27,1290275.0378640024
2000-07-28,1313890.5299631662
2000-07-31,1304387.8591003302
2000-08-01,1372543.8293224622
2000-08-02,1387457.245089802
2000-08-03,1381108.7579805246
2000-08-04,1367706.216532286
2000-08-07,1349988.9656412676
2000-08-08,1333358.6249431425
2000-08-09,1312339.2612468104
2000-08-10,1338419.4733382193
2000-08-11,1361657.6697344452
2000-08-14,1388784.8279696375
2000-08-15,1377716.6992816795
2000-08-16,1358202.2560758784
2000-08-17,1343270.745964048
2000-08-18,1345252.350775434
2000-08-21,1378944.1809237509
2000-08-22,1364204.8153771444
2000-08-23,1368793.0063931698
2000-08-24,1355457.3977448256
2000-08-25,1354085.4301354724
2000-08-28,1378500.8793223675
2000-08-29,1361165.6723025034
2000-08-30,1341207.1807752692
2000-08-31,1346829.2620503725
2000-09-01,1336487.8361052528
2000-09-05,1343786.377883127
2000-09-06,1367393.3316633045
2000-09-07,1372462.2633266558
2000-09-08,1358490.3035442082
2000-09-11,1366215.9870936978
2000-09-12,1388902.8316881927
2000-09-13,1368261.998765039
2000-09-14,1329629.928877392
2000-09-15,1339187.54825698
2000-09-18,1327300.9263355813
2000-09-19,1329749.6544845006
2000-09-20,1313814.207211979
2000-09-21,1356732.290090824
2000-09-22,1404398.9890899344
2000-09-25,1387472.3770869812
2000-09-26,1371053.063471862
2000-09-27,1410441.5473216185
2000-09-28,1452409.5163971006
2000-09-29,1461590.530024875
2000-10-02,1462748.124029284
2000-10-03,1460692.5649720645
2000-10-04,1453502.3552330951
2000-10-05,1484100.9320339838
2000-10-06,1501712.0083949943
2000-10-09,1506272.4687066241
2000-10-10,1540176.311719789
2000-10-11,1570657.4933077793
2000-10-12,1565174.5785136232
2000-10-13,1562052.9439376236
2000-10-16,1594044.0672354987
2000-10-17,1592526.1501966803
2000-10-18,1605788.8596555428
2000-10-19,1577785.6921215227
2000-10-20,1578520.26896263
2000-10-23,1597166.3653271534
2000-10-24,1641809.3463088628
2000-10-25,1676409.5568015268
2000-10-26,1682288.4610458093
2000-10-27,1714531.9197456501
2000-10-30,1785570.3173980396
2000-10-31,1758076.7242554764
2000-11-01,1748706.2426595446
2000-11-02,1735095.3673518014
2000-11-03,1741523.2008531517
2000-11-06,1783185.6573886902
2000-11-07,1781940.991112422
2000-11-08,1806695.6183413754
2000-11-09,1838249.6134837721
2000-11-10,1865396.9123886703
2000-11-13,1874739.276175681
2000-11-14,1879098.5799908228
2000-11-15,1904009.5071623554
2000-11-16,1891867.531188693
2000-11-17,1911809.9452967898
2000-11-20,1942088.610175948
2000-11-21,1980223.903276662
2000-11-22,1962456.4129343815
2000-11-24,1954164.7409324222
2000-11-27,1956870.4429685744
2000-11-28,1988104.3410434448
2000-11-29,2065449.6694394825
2000-11-30,2062571.5737303144
2000-12-01,2017327.314364018
2000-12-04,2060276.689560266
2000-12-05,1990907.1638968668
2000-12-06,1925036.9048242606
2000-12-07,1989249.1756936128
2000-12-08,1991341.6426998072
2000-12-11,1957792.5054206867
2000-12-12,1980541.4587545376
2000-12-13,1995141.7185365204
2000-12-14,1952402.1051589972
2000-12-15,1907934.6934863809
2000-12-18,2027162.6525775483
2000-12-19,2034616.4109234281
2000-12-20,2026848.434380866
2000-12-21,2066195.170249313
2000-12-22,2061694.5335230203
2000-12-26,2131178.319832077
2000-12-27,2170219.643548817
2000-12-28,2227019.0446540606
2000-12-29,2256620.9805221306
2001-01-02,2219552.4454499856
2001-01-03,2094380.877019812
2001-01-04,1919887.8301845444
2001-01-05,1982244.0255510693
2001-01-08,2031990.3629089666
2001-01-09,2043751.362226309
2001-01-10,2025386.6749634456
2001-01-11,1960059.3680502458
2001-01-12,1958108.3097983038
2001-01-16,2027163.43397669
2001-01-17,1957884.3801374263
2001-01-18,1968417.0189812973
2001-01-19,1920343.7410172333
2001-01-22,1973697.4975637698
2001-01-23,1944443.2292525836
2001-01-24,1923948.1799434426
2001-01-25,1942172.1056353196
2001-01-26,1923450.8207648234
2001-01-29,1901971.1979892885
2001-01-30,1948516.159048514
2001-01-31,1972495.2900712693
2001-02-01,2013886.373983576
2001-02-02,2019584.483155631
2001-02-05,2037577.5894003448
2001-02-06,2048153.3755756472
2001-02-07,2066938.3987380601
2001-02-08,2097124.318086542
2001-02-09,2086104.5911503553
2001-02-12,2107961.326894569
2001-02-13,2111257.200803874
2001-02-14,2073564.3732665177
2001-02-15,2082805.9414270665
2001-02-16,2122574.886366172
2001-02-20,2153251.554044451
2001-02-21,2143252.386815733
2001-02-22,2125227.661454703
2001-02-23,2114252.001235516
2001-02-26,2149688.048049585
2001-02-27,2153446.888091695
2001-02-28,2177496.7415233306
2001-03-01,2158157.542463268
2001-03-02,2172615.34475195
2001-03-05,2185051.68040266
2001-03-06,2160623.0705524143
2001-03-07,2137536.452049373
2001-03-08,2201625.5200668434
2001-03-09,2175783.8044372504
2001-03-12,2155024.112305493
2001-03-13,2116417.1072380166
2001-03-14,2105210.68956116
2001-03-15,2074562.607899313
2001-03-16,2028100.7323723875
2001-03-19,2046351.1941027625
2001-03-20,2025843.6492684404
2001-03-21,1988298.417388973
2001-03-22,1942081.251955829
2001-03-23,1947264.462797142
2001-03-26,1946191.3650245585
2001-03-27,1973440.8264781132
2001-03-28,1972366.628086006
2001-03-29,2009474.0145542214
2001-03-30,2044292.6224421775
2001-04-02,2052658.8445476335
2001-04-03,2024948.682974087
2001-04-04,2054039.0212241358
2001-04-05,2057652.6358691389
2001-04-06,2023699.0646041587
2001-04-09,2043250.0653102356
2001-04-10,2035309.0233051958
2001-04-11,2002401.4815439014
2001-04-12,2015206.6687877665
2001-04-16,2025702.480931225
2001-04-17,2013383.3501025129
2001-04-18,1985695.9846106828
2001-04-19,2002827.772484661
2001-04-20,1957903.909655087
2001-04-23,1952806.8725993328
2001-04-24,1939532.2475261344
2001-04-25,1972020.5145596007
2001-04-26,2001394.364432923
2001-04-27,2033118.566281665
2001-04-30,2036252.049022005
2001-05-01,2037605.4329620923
2001-05-02,2026667.2201709847
2001-05-03,2001125.3787163647
2001-05-04,2023812.7442632574
2001-05-07,2050463.1623234893
2001-05-08,2037166.6499366532
2001-05-09,2046629.2627870517
2001-05-10,2024634.4993641316
2001-05-11,2036805.2410912453
2001-05-14,2064927.0045909947
2001-05-15,2064288.3209546574
2001-05-16,2110879.895616527
2001-05-17,2097618.2461598744
2001-05-18,2093706.040603063
2001-05-21,2108220.8473558933
2001-05-22,2083427.8325141754
2001-05-23,2057992.2047585978
2001-05-24,2055840.492329615
2001-05-25,2035738.65329736
2001-05-29,2068452.2726529657
2001-05-30,2107171.8519555954
2001-05-31,2117434.076799284
2001-06-01,2124667.5266033104
2001-06-04,2155622.983428326
2001-06-05,2202036.0627638963
2001-06-06,2168198.6185921775
2001-06-07,2172626.0390174882
2001-06-08,2159388.620735036
2001-06-11,2136910.332893565
2001-06-12,2148905.0560284727
2001-06-13,2144636.350169631
2001-06-14,2122628.736874262
2001-06-15,2098994.2117178286
2001-06-18,2109915.735322236
2001-06-19,2096176.5758969525
2001-06-20,2145115.343146914
2001-06-21,2174420.336940745
2001-06-22,2126002.345551785
2001-06-25,2101172.657474782
2001-06-26,2123725.9254560745
2001-06-27,2114896.37190453
2001-06-28,2143773.7580248234
2001-06-29,2096649.8092203317
2001-07-02,2161146.033602998
2001-07-03,2164908.6657084064
2001-07-05,2165588.7229103115
2001-07-06,2127472.9825684763
2001-07-09,2171983.2083264696
2001-07-10,2172205.66620652
2001-07-11,2172635.5771840164
2001-07-12,2176896.02788369
2001-07-13,2189328.0992260897
2001-07-16,2218464.010537573
2001-07-17,2245607.53562901
2001-07-18,2282582.61314048
2001-07-19,2287017.6759402505
2001-07-20,2285393.70763436
2001-07-23,2270953.688978212
2001-07-24,2259293.219781721
2001-07-25,2308326.6290196707
2001-07-26,2308755.3870686535
2001-07-27,2297935.811637474
2001-07-30,2313212.619889154
2001-07-31,2364421.0572753996
2001-08-01,2334220.576584334
2001-08-02,2333777.7402370605
2001-08-03,2315890.075093362
2001-08-06,2288743.8747699982
2001-08-07,2313690.794999554
2001-08-08,2283409.140188362
2001-08-09,2324845.288320305
2001-08-10,2368979.737380962
2001-08-13,2392904.9844502667
2001-08-14,2397145.432384681
2001-08-15,2416199.23970463
2001-08-16,2451438.0718510705
2001-08-17,2434107.60658334
2001-08-20,2500933.5020564543
2001-08-21,2513865.287712358
2001-08-22,2522715.0002212184
2001-08-23,2547452.32604338
2001-08-24,2565371.204294704
2001-08-27,2569761.021058091
2001-08-28,2530764.8809385034
2001-08-29,2503834.68786523
2001-08-30,2501919.132327451
2001-08-31,2484308.843397801
2001-09-04,2559089.8744750563
2001-09-05,2594778.5641539036
2001-09-06,2570067.237051093
2001-09-07,2533602.5008616485
2001-09-10,2574413.9324149005
2001-09-17,2708367.9292786606
2001-09-18,2661730.507249962
2001-09-19,2655325.585765337
2001-09-20,2582428.4366202243
2001-09-21,2453000.955779775
2001-09-24,2473942.0461111176
2001-09-25,2508485.274482881
2001-09-26,2541168.97228715
2001-09-27,2657602.623840558
2001-09-28,2658710.4088774743
2001-10-01,2668936.778054952
2001-10-02,2672960.208490923
2001-10-03,2674520.276009408
2001-10-04,2667072.357654412
2001-10-05,2725986.925766249
2001-10-08,2777269.6166112022
2001-10-09,2732444.717879645
2001-10-10,2764968.57497465
2001-10-11,2729126.6621297556
2001-10-12,2724783.191747672
2001-10-15,2756368.9002056904
2001-10-16,2725714.395816833
2001-10-17,2688228.501124876
2001-10-18,2672856.597533227
2001-10-19,2674764.6627776423
2001-10-22,2754846.2342422814
2001-10-23,2706208.6341530806
2001-10-24,2710760.2051671175
2001-10-25,2742452.379398588
2001-10-26,2758747.780339058
2001-10-29,2689136.1115563107
2001-10-30,2709079.9129937477
2001-10-31,2705766.2228303347
2001-11-01,2757148.194088963
2001-11-02,2797041.5304627493
2001-11-05,2824102.9819245385
2001-11-06,2844027.15578938
2001-11-07,2819568.0213676873
2001-11-08,2742817.128262831
2001-11-09,2748753.5363818235
2001-11-12,2799545.1477065203
2001-11-13,2784330.023929076
2001-11-14,2802075.795362892
2001-11-15,2822835.34905993
2001-11-16,2840204.1109298207
2001-11-19,2869779.491284611
2001-11-20,2885609.894422957
2001-11-21,2876919.9265000853
2001-11-23,2906682.970364251
2001-11-26,2938624.4100342644
2001-11-27,2901039.4704458257
2001-11-28,2892091.1317458665
2001-11-29,2904578.7802978884
2001-11-30,2926025.524731185
2001-12-03,2949917.1277990816
2001-12-04,2956853.798696134
2001-12-05,2970067.88496337
2001-12-06,2926715.7674770495
2001-12-07,2907791.0440763263
2001-12-10,2911927.880442248
2001-12-11,2870898.3304140735
2001-12-12,2859294.1631699814
2001-12-13,2880220.422222492
2001-12-14,2911807.0238385093
2001-12-17,2914833.8456960856
2001-12-18,2955355.396265198
2001-12-19,2970119.0655145706
2001-12-20,2970540.8022168986
2001-12-21,3003497.0532462546
2001-12-24,3019172.2083125045
2001-12-26,3042161.704551536
2001-12-27,3062673.5944523388
2001-12-28,3061238.1180614787
2001-12-31,3050889.8146183803
2002-01-02,3050647.3822386535
2002-01-03,3045645.6358340504
2002-01-04,3023552.6057043946
2002-01-07,3016808.633709355
2002-01-08,3017145.640273751
2002-01-09,2998248.936118729
2002-01-10,3001797.2915133717
2002-01-11,3005871.376825113
2002-01-14,3025227.3559299973
2002-01-15,3070831.0893800734
2002-01-16,3057241.5232300637
2002-01-17,3089391.774549266
2002-01-18,3100362.78804147
2002-01-22,3134547.2294194475
2002-01-23,3117160.501898265
2002-01-24,3096156.6775458464
2002-01-25,3091172.793527703
2002-01-28,3133320.05592776
2002-01-29,3090573.288807803
2002-01-30,3158402.8739822865
2002-01-31,3220220.6815873324
2002-02-01,3207007.8647257397
2002-02-04,3193318.3827783023
2002-02-05,3229841.261328439
2002-02-06,3184759.5709056947
2002-02-07,3158481.2328271857
2002-02-08,3159936.190260497
2002-02-11,3205816.954787734
2002-02-12,3205978.067763011
2002-02-13,3236447.20779073
2002-02-14,3243768.934295627
2002-02-15,3292667.55926851
2002-02-19,3265100.3646830576
2002-02-20,3351792.554508852
2002-02-21,3305502.5047933054
2002-02-22,3356874.989962339
2002-02-25,3382516.5559084765
2002-02-26,3373754.884007121
2002-02-27,3367921.6505103195
2002-02-28,3345594.2524923324
2002-03-01,3393634.4380292506
2002-03-04,3373099.7696507685
2002-03-05,3330371.2593784677
2002-03-06,3376910.6433961308
2002-03-07,3321886.868505326
2002-03-08,3302966.430631236
2002-03-11,3332030.858134376
2002-03-12,3376254.045569833
2002-03-13,3365223.957924648
2002-03-14,3389232.0609438303
2002-03-15,3426726.384108278
2002-03-18,3387171.614083929
2002-03-19,3418811.3537282664
2002-03-20,3293831.729754312
2002-03-21,3309727.1423702543
2002-03-22,3286592.161125043
2002-03-25,3249248.855497493
2002-03-26,3299593.019410193
2002-03-27,3331770.7495306744
2002-03-28,3348292.90761366
2002-04-01,3337285.8297270276
2002-04-02,3323327.7172420654
2002-04-03,3277942.3035283233
