Date,equity
2000-01-07,1000258.7301587302
2000-01-10,993603.0229803977
2000-01-11,992678.4478274655
2000-01-12,987063.1792565398
2000-01-13,988798.2479813464
2000-01-14,982488.2361083407
2000-01-18,982098.6852215616
2000-01-19,979845.5220434135
2000-01-20,972825.3208302315
2000-01-21,965689.1765779313
2000-01-24,954965.517772622
2000-01-25,947240.5839058165
2000-01-26,946825.8081765516
2000-01-27,950809.6847662624
2000-01-28,950058.3561976367
2000-01-31,959663.2794302624
2000-02-01,952121.2022299864
2000-02-02,946544.9656457141
2000-02-03,936378.1441090967
2000-02-04,936483.5521472238
2000-02-07,939425.0629365551
2000-02-08,934290.0746747032
2000-02-09,934827.7213419524
2000-02-10,935859.380591018
2000-02-11,929231.2986823486
2000-02-14,932601.3158772154
2000-02-15,936214.3224195581
2000-02-16,939326.527054697
2000-02-17,941429.9385354924
2000-02-18,938289.0986862389
2000-02-22,946020.0813444892
2000-02-23,936898.1402786778
2000-02-24,926627.0928856788
2000-02-25,924855.4059630537
2000-02-28,928750.8997368212
2000-02-29,925233.0540132092
2000-03-01,930767.8896184134
2000-03-02,923758.5936916199
2000-03-03,922630.4864492437
2000-03-06,907495.5259443804
2000-03-07,861461.1072581271
2000-03-08,882858.6682223587
2000-03-09,891362.1080578563
2000-03-10,863050.6076256516
2000-03-13,869096.6585858962
2000-03-14,868823.2119400012
2000-03-15,941999.6728359081
2000-03-16,1001760.6604375441
2000-03-17,964962.510457678
2000-03-20,984975.07350592
2000-03-21,992160.8232089896
2000-03-22,980346.2889453132
2000-03-23,988337.4500358205
2000-03-24,972024.5168464498
2000-03-27,961647.3897389787
2000-03-28,967404.2507272132
2000-03-29,994806.5010605569
2000-03-30,1021017.2749255328
2000-03-31,1020525.8852661899
2000-04-03,1038427.2131013147
2000-04-04,1078639.8833666346
2000-04-05,1079275.2253211134
2000-04-06,1064145.7346066586
2000-04-07,1045428.5426116138
2000-04-10,1066939.0604528538
2000-04-11,1101793.2383355442
2000-04-12,1127645.1298999665
2000-04-13,1123325.17639482
2000-04-14,1085288.7063252348
2000-04-17,1105707.5048003306
2000-04-18,1092417.7239027016
2000-04-19,1089940.5843096585
2000-04-20,1118656.9509981812
2000-04-24,1156395.4373503372
2000-04-25,1166283.4886755445
2000-04-26,1144987.5590529616
2000-04-27,1148746.9770764092
2000-04-28,1125279.089362442
2000-05-01,1122428.6753724704
2000-05-02,1135965.9635496978
2000-05-03,1145659.3797297736
2000-05-04,1138724.4810700575
2000-05-05,1146796.9767847725
2000-05-08,1194262.0122701318
2000-05-09,1218932.1465767052
2000-05-10,1235793.6389849575
2000-05-11,1247783.7563524249
2000-05-12,1228922.3302813733
2000-05-15,1273449.1773884806
2000-05-16,1279000.009637118
2000-05-17,1277519.497910671
2000-05-18,1295027.1319504343
2000-05-19,1297257.945523978
2000-05-22,1316046.800688525
