Date,equity
2000-01-07,1000258.7301587302
2000-01-10,1003907.4321781499
2000-01-11,998885.2178518561
2000-01-12,989564.9198593091
2000-01-13,990818.1844593621
2000-01-14,990061.6271220956
2000-01-18,980864.2198704378
2000-01-19,974753.9520456723
2000-01-20,968692.4243994209
2000-01-21,959312.5503251115
2000-01-24,948404.0306854406
2000-01-25,944354.8764956221
2000-01-26,955869.5583197615
2000-01-27,946826.0293410032
2000-01-28,939230.5587185626
2000-01-31,936978.8580626646
2000-02-01,934100.2268907026
2000-02-02,933190.3395661602
2000-02-03,965902.219297359
2000-02-04,959425.3436315069
2000-02-07,951073.4885315308
2000-02-08,946910.7609603029
2000-02-09,934943.4840637426
2000-02-10,929682.2976266233
2000-02-11,923364.8622297989
2000-02-14,924138.0253750734
2000-02-15,915553.5325999903
2000-02-16,907542.047375781
2000-02-17,898950.4706393052
2000-02-18,902039.8737372884
2000-02-22,903116.3761481676
2000-02-23,903757.6896553151
2000-02-24,900648.5040767632
2000-02-25,906906.4424248171
2000-02-28,923600.2761518962
2000-02-29,921804.4550495757
2000-03-01,910444.6439951255
2000-03-02,919745.1779329625
2000-03-03,919809.0883422301
2000-03-06,910912.5256888019
2000-03-07,875396.0875562758
2000-03-08,890386.1411950493
2000-03-09,916103.2539352669
2000-03-10,883788.2135019591
2000-03-13,896711.6462882817
2000-03-14,910929.8044603954
2000-03-15,985867.2934529975
2000-03-16,1099780.2086466106
2000-03-17,1069571.7933492109
2000-03-20,1053868.2861546394
2000-03-21,1085974.9421991112
2000-03-22,1076402.6593107437
2000-03-23,1076296.9366754452
2000-03-24,1091401.8902586293
2000-03-27,1098549.4621058127
2000-03-28,1096642.223555623
2000-03-29,1125421.3602500989
2000-03-30,1149744.131493515
2000-03-31,1158433.4932892548
2000-04-03,1184795.9374398005
2000-04-04,1185199.7032296436
2000-04-05,1184847.8691105854
2000-04-06,1180322.3345861745
2000-04-07,1177060.490207139
2000-04-10,1190301.0049122723
2000-04-11,1200467.9523300324
2000-04-12,1212702.7536658582
2000-04-13,1209453.4491167401
2000-04-14,1151281.4180439082
2000-04-17,1141936.511668013
2000-04-18,1150130.9296566762
2000-04-19,1169222.1262043042
2000-04-20,1158637.6129017293
2000-04-24,1172130.5095653238
2000-04-25,1197222.6893638128
2000-04-26,1191457.2345789736
2000-04-27,1167147.309562368
2000-04-28,1173066.597671744
2000-05-01,1214329.5915954376
2000-05-02,1204918.338649274
2000-05-03,1137529.9520861742
2000-05-04,1168166.7949217116
2000-05-05,1195002.7680945252
2000-05-08,1217687.0378447562
2000-05-09,1236383.3716250078
2000-05-10,1228750.0483016232
2000-05-11,1235159.5037986573
2000-05-12,1221219.7383122747
2000-05-15,1280122.2401556538
2000-05-16,1285003.2014059352
2000-05-17,1237747.1352642665
2000-05-18,1244647.0401990472
2000-05-19,1240093.2100028205
2000-05-22,1249902.5100235187
2000-05-23,1252768.4032798826
2000-05-24,1242345.8880697049
2000-05-25,1236987.7638807949
2000-05-26,1224961.401657479
2000-05-30,1264831.5215533695
2000-05-31,1269073.0414793505
2000-06-01,1260502.441883093
2000-06-02,1276326.210827763
2000-06-05,1261240.5083942516
2000-06-06,1211358.5915708547
2000-06-07,1205814.913969789
2000-06-08,1188830.059911167
2000-06-09,1178096.2580097318
2000-06-12,1145817.4830562687
2000-06-13,1147919.7020420516
2000-06-14,1155591.0516918951
2000-06-15,1180518.6645982165
2000-06-16,1159003.0947579083
2000-06-19,1145396.0689345356
2000-06-20,1107459.5405937803
2000-06-21,1086535.0786003848
2000-06-22,1084626.0928715945
2000-06-23,1072789.084902397
2000-06-26,1086953.207283994
2000-06-27,1120626.1941711851
2000-06-28,1133662.2540817861
2000-06-29,1113067.3552363343
2000-06-30,1115966.9254017326
2000-07-03,1139728.1932799993
2000-07-05,1135287.5962918
2000-07-06,1143874.5234874138
2000-07-07,1155029.3564073534
2000-07-10,1169275.615379876
2000-07-11,1182140.4609007332
2000-07-12,1185856.8274281572
2000-07-13,1162437.0640946368
2000-07-14,1174906.330886547
2000-07-17,1172388.494092172
2000-07-18,1167891.227977399
2000-07-19,1150203.097794471
2000-07-20,1152638.00586095
2000-07-21,1141324.1066072974
2000-07-24,1151773.375514254
2000-07-25,1153457.360636153
2000-07-26,1160842.7912290094
2000-07-27,1156578.2029436063
2000-07-28,1129463.2345400297
2000-07-31,1122802.1594533434
2000-08-01,1127442.9798753443
2000-08-02,1127153.6815800446
2000-08-03,1124566.8327363494
2000-08-04,1137341.6596463267
2000-08-07,1147543.665174474
2000-08-08,1152640.2618628626
2000-08-09,1150391.7625438224
2000-08-10,1153680.8520052736
2000-08-11,1169448.0980096415
2000-08-14,1187133.3521443866
2000-08-15,1157256.7545693992
2000-08-16,1146370.712157871
2000-08-17,1151720.2575994197
2000-08-18,1154478.4626843794
2000-08-21,1151929.5363665025
2000-08-22,1133650.1245013454
2000-08-23,1135760.7724261403
2000-08-24,1137237.400228566
2000-08-25,1142097.7587315782
2000-08-28,1126887.866025544
2000-08-29,1136341.0293173485
2000-08-30,1133013.6569435683
2000-08-31,1109082.8335240898
2000-09-01,1138069.1362513925
2000-09-05,1161298.1514240988
2000-09-06,1155845.570291248
2000-09-07,1148722.1443568927
2000-09-08,1155163.917563519
2000-09-11,1143524.561039585
2000-09-12,1180436.755257577
2000-09-13,1175777.1151577963
2000-09-14,1162264.861504501
2000-09-15,1151872.294017823
2000-09-18,1144369.6486531617
2000-09-19,1161202.4998177781
2000-09-20,1147651.273241123
2000-09-21,1175513.7780609112
2000-09-22,1188965.9487612771
2000-09-25,1190219.3774870501
2000-09-26,1185887.9125808878
2000-09-27,1190369.890515929
2000-09-28,1212760.9199278902
2000-09-29,1214571.743047583
2000-10-02,1204921.8801970915
2000-10-03,1215425.8220653345
2000-10-04,1224896.0762498511
2000-10-05,1232937.8901967187
2000-10-06,1210217.88314959
2000-10-09,1210452.865348657
2000-10-10,1210569.1960835166
2000-10-11,1203808.5760218897
2000-10-12,1187921.574314676
2000-10-13,1211345.265605518
2000-10-16,1229803.8095772383
2000-10-17,1205905.9022915643
2000-10-18,1242563.5791352722
2000-10-19,1256207.4546596594
2000-10-20,1220518.4934284508
2000-10-23,1225924.3814786687
2000-10-24,1247642.6175695863
2000-10-25,1265075.3433664031
2000-10-26,1291390.4488249293
2000-10-27,1299760.9298128537
2000-10-30,1370402.5061647561
2000-10-31,1422250.717674429
2000-11-01,1421782.1488515146
2000-11-02,1437674.527391327
2000-11-03,1437357.8891690404
2000-11-06,1476074.3979411628
2000-11-07,1481096.098823543
2000-11-08,1502866.7743082629
2000-11-09,1479108.3784818652
2000-11-10,1454356.3853220008
2000-11-13,1481734.325012075
2000-11-14,1447377.4832464077
2000-11-15,1463859.661872796
2000-11-16,1458602.7951313925
2000-11-17,1459094.055149851
2000-11-20,1459132.8072099558
2000-11-21,1472311.201371238
2000-11-22,1491904.8733824296
2000-11-24,1486629.256523324
2000-11-27,1536646.3256474754
2000-11-28,1516598.0751013616
2000-11-29,1516817.7904538806
2000-11-30,1530304.2357567116
2000-12-01,1525927.949983977
2000-12-04,1570006.801743821
2000-12-05,1590198.4472058557
2000-12-06,1552661.2509070567
2000-12-07,1573922.0001501252
2000-12-08,1582119.1423461821
2000-12-11,1549572.4591064472
2000-12-12,1566289.7926013872
2000-12-13,1552385.607453588
2000-12-14,1557875.2793063202
2000-12-15,1541951.3330508796
2000-12-18,1561853.4766419102
2000-12-19,1534380.582789704
2000-12-20,1546214.9514730356
2000-12-21,1591749.5748520105
2000-12-22,1617816.8182048192
2000-12-26,1649127.2551680824
2000-12-27,1717096.4978000233
2000-12-28,1727415.5467359591
2000-12-29,1734989.984782698
2001-01-02,1683149.3749915
2001-01-03,1711103.8252888229
2001-01-04,1624383.9877402561
2001-01-05,1634973.9156207927
2001-01-08,1668511.3020368926
2001-01-09,1678062.608576499
2001-01-10,1703231.557614729
2001-01-11,1694402.909726785
2001-01-12,1686050.7731369815
2001-01-16,1736310.3894237971
2001-01-17,1723308.7280489488
2001-01-18,1723914.735312545
2001-01-19,1643443.1811864213
2001-01-22,1677884.9507274518
2001-01-23,1695764.459645013
2001-01-24,1709102.7774298005
2001-01-25,1758119.1753077707
2001-01-26,1775078.0948872196
2001-01-29,1795009.6377948108
2001-01-30,1789615.1202225366
2001-01-31,1840619.812443576
2001-02-01,1853312.5126799964
2001-02-02,1809376.4338767268
2001-02-05,1818109.0694811384
2001-02-06,1813774.1184412753
2001-02-07,1833763.493146136
2001-02-08,1797178.1767293864
2001-02-09,1766935.152137618
2001-02-12,1799193.3300165366
2001-02-13,1819949.3283711162
2001-02-14,1835081.8891583858
2001-02-15,1830352.3914955757
2001-02-16,1835967.1797408622
2001-02-20,1855199.266772237
2001-02-21,1796321.9072699198
2001-02-22,1778767.3328761111
2001-02-23,1785624.125687974
2001-02-26,1865111.794884031
2001-02-27,1817707.01815553
2001-02-28,1812567.7035216335
2001-03-01,1769671.0214852593
2001-03-02,1786502.2092400785
2001-03-05,1794405.9859523894
2001-03-06,1806394.1899117345
2001-03-07,1837441.992481669
2001-03-08,1885341.4037189092
2001-03-09,1857988.3492738483
2001-03-12,1816216.6188032727
2001-03-13,1771081.875020197
2001-03-14,1731117.606720821
2001-03-15,1717678.3442699248
2001-03-16,1693789.2268091468
2001-03-19,1728586.7853314243
2001-03-20,1726203.718661951
2001-03-21,1715334.1799384742
